"YEAR","N_DOCS"
"2025","146439"
"2024","565089"
"2023","517414"
"2022","531260"
"2021","516078"
"2020","449135"
"2019","390482"
"2018","351913"
"2017","332368"
"2016","319013"
"2015","305433"
"2014","286770"
"2013","267699"
"2012","249924"
"2011","225841"
"2010","206113"
"2009","191489"
"2008","174918"
"2007","164369"
"2006","151989"
"2005","139078"
"2004","127878"
"2003","117251"
"2002","110181"
"2001","104540"
"2000","99982"
"1999","93957"
"1998","90167"
"1997","87662"
"1996","84863"
"1995","70501"
"1994","66856"
"1993","62353"
"1992","58179"
"1991","54368"
"1990","52882"
"1989","49183"
"1988","45672"
"1987","42332"
"1986","41030"
"1985","42084"
"1984","37775"
"1983","34017"
"1982","34687"
"1981","33399"
"1980","29893"
"1979","29808"
"1978","26619"
"1977","25648"
"1976","23246"
"1975","23352"
"1974","23393"
"1973","19598"
"1972","12401"
"1971","11012"
"1970","10336"
"1969","6079"
"1968","5848"
"1967","5361"
"1966","4877"
"1965","4852"
"1964","5136"
"1963","4399"
"1962","3654"
"1961","3443"
"1960","3289"
"1959","3028"
"1958","2955"
"1957","3070"
"1956","3074"
"1955","2882"
"1954","2695"
"1953","2608"
"1952","2831"
"1951","2959"
"1950","2698"
"1949","2192"
"1948","2370"
"1947","2048"
"1946","1456"
"1945","603"
"1944","262"
"1943","297"
"1942","301"
"1941","320"
"1940","309"
"1939","264"
"1938","220"
"1937","271"
"1936","298"
"1935","277"
"1934","223"
"1933","185"
"1932","184"
"1931","179"
"1930","127"
"1929","123"
"1928","118"
"1927","128"
"1926","110"
"1925","115"
"1924","83"
"1923","60"
"1922","91"
"1921","84"
"1920","63"
"1919","45"
"1918","36"
"1917","56"
"1916","56"
"1915","60"
"1914","80"
"1913","78"
"1912","74"
"1911","91"
"1910","61"
"1909","93"
"1908","67"
"1907","70"
"1906","56"
"1905","42"
"1904","52"
"1903","40"
"1902","41"
"1901","27"
"1900","32"
"1899","29"
"1898","30"
"1897","23"
"1896","15"
"1895","24"
"1894","14"
"1893","13"
"1892","28"
"1891","21"
"1890","9"
"1889","22"
"1888","16"
"1887","24"
"1886","13"
"1885","8"
"1884","9"
"1883","7"
"1882","5"
"1881","7"
"1880","16"
"1879","6"
"1878","7"
"1877","4"
"1876","6"
"1875","7"
"1874","11"
"1873","5"
"1872","11"
"1871","10"
"1870","13"
"1869","6"
"1868","5"
"1867","7"
"1866","3"
